Order,Account,Created Date,Item
,,,903002
SO-0017108,CU 0103105,3/3/09,
,,,301001
SO-0017109,CU 0103398,3/4/09,
,,,101001
,,,101001
,,,101001
,,,603001
,,,302001
,,,301001
,,,502001
,,,501001
,,,502006XL
,,,804014
,,,601003L
,,,602012
,,,602010
,,,604002
,,,804011
,,,601012
,,,402002
,,,509007
,,,601006
,,,601018
,,,202006
,,,202004
,,,201101
,,,201008
SO-0017110,CU 0101581,3/4/09,
,,,903001
,,,903002
SO-0017111,CU 0103260,3/4/09,
,,,601005
,,,402002
,,,101135
,,,502006XL
,,,501002
,,,501001
SO-0017112,CU 0103260,3/4/09,
SO-0017114,CU 0101415,3/4/09,
,,,604001
SO-0017115,CU 0103655,3/4/09,
,,,403001
,,,401001Y
SO-0017116,CU 0101065,3/4/09,
,,,502008
SO-0017118,CU 0103467,3/4/09,
,,,601003L
,,,509002
,,,401001Y
,,,601003L
,,,509002
,,,401001Y
SO-0017119,CU 0101634,3/4/09,
,,,101163
SO-0017120,CU 0104643,3/4/09,
,,,804011
SO-0017121,CU 0104759,3/4/09,
,,,101001
,,,602020
,,,603001
,,,302002
,,,301001
,,,502006SM
,,,501001
,,,101208
,,,602021
,,,101137
,,,602019
,,,602012
,,,601003L
,,,509002
,,,502001
SO-0017122,CU 0103256,3/4/09,
,,,502006SM
SO-0017123,CU 0101007,3/4/09,
,,,902018
SO-0017124,CU 0104760,3/4/09,
,,,101001
,,,101001
,,,101001
,,,902020
,,,603001
,,,602019
,,,509002
,,,903002
,,,101208
,,,602017
,,,602021
,,,402002
,,,404002
,,,409106
,,,109001
,,,309001
,,,509003
,,,309003
,,,309002
,,,101137
,,,604002
,,,601002
,,,602010
,,,201101
,,,409110
,,,509007
,,,804010
,,,502001
,,,502006SM
,,,501002
,,,501001
,,,301001
,,,604001
,,,602012
,,,601003L
,,,602008
,,,302002
,,,804004
,,,804015
,,,602020
,,,804005
,,,601014
,,,601016
SO-0017125,CU 0103624,3/4/09,
,,,401001Y
SO-0017126,CU 0104761,3/4/09,
,,,101001
,,,502001
SO-0017127,CU 0103624,3/4/09,
,,,604002
SO-0017128,CU 0103624,3/4/09,
,,,604001
