1976,CU 0101612,Hoover
1977,CU 0101613,Hoover
1978,CU 0101614,Hoover
1979,CU 0101615,Hoover
1980,CU 0101616,Randy
1981,CU 0101617,Randy
1983,CU 0101618,Randy
1984,CU 0101619,Randy
1985,CU 0101620,Randy
1986,CU 0101621,Randy
1987,CU 0101622,Randy
1988,CU 0101623,Randy
1989,CU 0101624,Randy
1990,CU 0101625,Randy
1991,CU 0101625,Randy
1992,CU 0101626,Randy
1993,CU 0101627,Randy
1994,CU 0101629,Randy
1995,CU 0101630,Randy
1996,CU 0101632,Randy
1997,CU 0101633,Randy
1998,CU 0101634,Randy
1999,CU 0101635,Randy
2000,CU 0101253,Randy
